id,followers,username,time,last_child_time,Hop,Non_follower
8.93751E+17,2159,abdul_Quduus,64077,667808,2,0
248540402,2880,___Nwa__,64077,667808,1,1
472373876,25,antonios1906,64077,64077,1,0
1.21712E+18,1,Greatest710,64150,64150,1,0
24465503,208,Touanzar3lli,64150,64150,1,0
4353503896,4900,Kutoane_Lee,64150,667808,2,0
1.58017E+18,65,Dayveed_ray,64222,64222,1,1
8.3674E+17,1253,MackaVEALi88,64222,64222,3,0
1.07653E+18,3,Wateris84813336,64222,64222,2,0
3019697844,1617,pineappulvibeZ,64222,667808,1,0
154611139,1374,KizMusic758,64222,667808,1,0
323942290,231,MarzLDN,64222,64222,1,1
1.42875E+18,45,keseanisking444,64295,64295,3,0
618380558,442,AGJXO_,64295,64295,1,0
330833548,1541,QuincThePrince,64295,223401,1,0
1.10263E+18,642,officializucee,64295,667808,1,0
2779244538,1476,iam_thevibes,64295,667808,2,0
1.55244E+18,84,tasiyapierce_,64367,64367,1,0
1.47291E+18,1388,GoGette12499044,64367,64367,2,0
1.49368E+18,487,kegos_world,64367,667808,3,0
516989048,722,StayStandingOut,64367,667808,2,0
1.21136E+18,66,higgyt15,64367,64367,1,0
9.1357E+17,111,DJDraDay1,64439,64439,1,0
1.22907E+18,22,jerry21840849,64439,64439,1,1
360141646,487,dan_solo7,64511,64511,1,1
2441049085,715,alannagreene,64511,64511,1,0
1.17773E+18,1136,obirijnr11,64511,667808,2,0
7.42836E+17,1750,KobbyPillo1,64511,667808,2,0
9.27632E+17,317,tianarns,64511,64511,1,0
1.56862E+18,5,upitim02,64511,64511,2,0
2176603229,1779,bmvrxo,64511,64511,1,0
1.17574E+18,41,Jiggy_Torion,64584,64584,4,0
1.35222E+18,795,zeekaythe1_only,64584,667808,2,0
1.61644E+18,74,T2unde,64584,64584,1,1
1.01366E+18,589,big_Dsendawula,64584,667808,2,0
1577960587,743,gersenfeld,64584,64584,1,0
1.20511E+18,1810,sttmajeed,64584,64584,1,0
2977462293,231,NKDisla,64584,64584,1,0
9.69188E+17,282,Abdul1oo9,64584,64584,2,0
1.22304E+18,1254,AyamOver,64656,64656,2,0
1.24539E+18,115,Tina_Baninaa,64656,64656,1,0
349659400,2274,marcus_nice,64656,64656,1,0
9.63118E+17,158,real_adedapo,64656,667808,1,0
1.42756E+18,168,005Apr,64656,64656,1,1
551690005,217,Realhmr14,64656,64656,1,0
