id,time,type,prev_id,Engagement_index,Hop,Non_follower
1.10796E+18,37708,like,1.10796E+18,0,2,0
1.16902E+18,37708,like,1.16902E+18,0,1,0
245179998_1,37708,like,245179998,1,1,0
397736756,37708,like,397736756,0,2,0
241534814,37708,like,241534814,0,1,0
863214259588796416_1,37708,like,8.63214E+17,1,1,0
199973515,37708,like,199973515,0,1,1
2944248658,37708,like,2944248658,0,1,0
2489316902,37708,like,2489316902,0,1,0
883961114555539457_1,37708,like,8.83961E+17,1,1,0
2266287906,37708,like,2266287906,0,1,0
259912343,37708,like,259912343,0,1,0
1.2248E+18,37708,like,1.2248E+18,0,1,0
491302092,37708,like,491302092,0,1,0
1.00694E+18,37708,like,1.00694E+18,0,2,0
1089556032685305857_1,37708,like,1.08956E+18,1,1,0
4120555157,37708,like,4120555157,0,1,0
3418635346,37708,like,3418635346,0,1,0
76441813,37708,like,76441813,0,1,0
1453275363342262276_1,37708,like,1.45328E+18,1,1,0
1.26654E+18,37708,like,1.26654E+18,0,1,0
152568239,37708,like,152568239,0,2,0
1.15407E+18,37708,like,1.15407E+18,0,1,0
2867669996,37708,like,2867669996,0,1,1
1.4153E+18,37708,like,1.4153E+18,0,3,0
3904902623,37708,like,3904902623,0,1,0
2682448159,37708,like,2682448159,0,1,0
1.24875E+18,37708,like,1.24875E+18,0,1,1
1.5439E+18,37780,like,1.5439E+18,0,2,0
292514079,37780,like,292514079,0,1,0
3132623281,37780,like,3132623281,0,1,1
1.21167E+18,37780,like,1.21167E+18,0,1,1
1418385879429697543_1,37780,like,1.41839E+18,1,1,0
1.63785E+18,37780,like,1.63785E+18,0,1,1
1.08606E+18,37780,like,1.08606E+18,0,1,0
7.1094E+17,37780,like,7.1094E+17,0,1,0
326570233,37780,like,326570233,0,2,0
8.62119E+17,37780,like,8.62119E+17,0,1,0
368655127,37780,like,368655127,0,2,0
913669100,37780,like,913669100,0,1,0
24577046_1,37780,like,24577046,1,1,0
1.30275E+18,37780,like,1.30275E+18,0,1,0
8.02974E+17,37780,like,8.02974E+17,0,1,0
585706493_1,37780,like,585706493,1,1,0
2730347813,37780,like,2730347813,0,1,0
774242077,37780,like,774242077,0,2,0
1463840606,37780,like,1463840606,0,1,0
1.41119E+18,37780,like,1.41119E+18,0,1,1
1.47997E+18,37780,like,1.47997E+18,0,2,0
1.07593E+18,37780,like,1.07593E+18,0,1,0
774044654471876608_1,37780,like,7.74045E+17,1,1,0
8.05305E+17,37780,like,8.05305E+17,0,1,1
423654890,37780,like,423654890,0,1,1
602184870_1,37780,like,602184870,1,1,0
7.07374E+17,37780,like,7.07374E+17,0,2,0
8.8797E+17,37780,like,8.8797E+17,0,1,1
1394496226528215045_1,37780,like,1.3945E+18,1,1,0
7.47337E+17,37780,like,7.47337E+17,0,2,0
1.60532E+18,37780,like,1.60532E+18,0,1,1
830170171344052224_1,37780,like,8.3017E+17,1,1,0
8.29792E+17,37780,like,8.29792E+17,0,1,0
1058943075895123968_1,37853,like,1.05894E+18,1,1,0
1156241672369557505_1,37853,like,1.15624E+18,1,1,0
7.02038E+17,37853,like,7.02038E+17,0,1,0
2869916536,37853,like,2869916536,0,1,1
1.3194E+18,37853,like,1.3194E+18,0,2,0
543931413,37853,like,543931413,0,2,1
2370866611,37853,like,2370866611,0,3,0
1460447306,37853,like,1460447306,0,3,0
583870612_1,37853,like,583870612,1,1,0
1.27694E+18,37853,like,1.27694E+18,0,1,0
7.18492E+17,37853,like,7.18492E+17,0,1,0
712866852,37853,like,712866852,0,1,0
1.23233E+18,37853,like,1.23233E+18,0,2,0
462485623,37853,like,462485623,0,1,0
2416651188,37853,like,2416651188,0,2,0
1.62905E+18,37853,like,1.62905E+18,0,1,1
3122521317,37853,like,3122521317,0,1,0
1.31631E+18,37853,like,1.31631E+18,0,1,1
7.25741E+17,37853,like,7.25741E+17,0,1,0
214732751,37853,like,214732751,0,1,0
1.56297E+18,37853,like,1.56297E+18,0,1,1
1.61945E+18,37853,like,1.61945E+18,0,1,1
45079880,37853,like,45079880,0,2,0
3068761867_1,37853,like,3068761867,1,1,0
1.24691E+18,37853,like,1.24691E+18,0,2,0
